time,lat,lon,depth,station,profile,temp,cond,sal,dens,flu,par_z,par_surface,light_level,bbp_470,bbp_700,kpar,ed412,ed442,ed488,ed490,ed510,ed530,ed550,ed554,ed560,ed620,ed664,ed666,ed670,ed678,ed682,ed708,ed748,ed754,ed760,ed764,ed778,lu412,lu442,lu488,lu490,lu510,lu530,lu550,lu554,lu560,lu620,lu664,lu666,lu670,lu678,lu682,lu708,lu748,lu754,lu760,lu764,lu778,es412,es442,es488,es490,es510,es530,es550,es554,es560,es620,es664,es666,es670,es678,es682,es708,es748,es754,es760,es764,es778
2016-04-21T00:22:11.000Z,23.59633333333333,-157.9553333333333,3,2,1,23.34,51.66,35.25,1024.04,,1685.44,1789.81,101.01,    ,    ,0.13,144.82,170.3,185.78,185.94,177.23,171.92,165.1,162.64,158.54,77.58,51.14,50.42,49.48,45.89,42.97,17.6,0,0.4,0.28,0,0,2.859,2.493,1.768,1.708,0.881,0.567,0.375,0.343,0.301,0.024,0.01,0.01,0.011,0.011,0.005,0,0,0,0,0,0,110.58,126.95,140.47,141.06,141.03,141.26,140.96,140.23,138.35,130.27,123.79,124.12,123.97,122.09,118.09,110.73,105.91,98.7,74.39,73.63,100.29
2016-04-21T00:22:14.000Z,23.59633333333333,-157.9553333333333,4,2,1,23.34,51.65,35.24,1024.04,0.108,1482.56,1794.02,88.85,-0.0009,0.00077,0.24,139.94,163.89,176.72,176.71,165.25,158.12,149.4,146.65,142.39,56.11,32.33,31.71,31.27,28.39,26.46,8.01,0,0.17,0.28,0,0,2.797,2.438,1.733,1.671,0.852,0.548,0.361,0.329,0.291,0.022,0.011,0.008,0.004,0.005,0,0,0,0,0,0,0,110.83,127.23,141,141.53,141.25,141.55,141.25,140.5,138.69,130.7,124.05,124.47,124.14,122.38,118.26,111,106.05,98.94,74.44,73.63,100.48
2016-04-21T00:22:16.000Z,23.59633333333333,-157.9553333333333,5,2,1,23.34,51.63,35.23,1024.03,0.11,1172.02,1795.92,70.24,-0.00092,0.00074,0.04,118.78,138.92,149.43,149.41,137.45,130.15,121.37,118.81,114.86,35.16,17.5,17.14,16.62,14.98,13.74,3.15,0,0,0,0,0,2.665,2.32,1.64,1.583,0.8,0.512,0.33,0.301,0.263,0.02,0.008,0.006,0,0.004,0,0,0,0,0,0,0,110.85,127.35,141.09,141.64,141.44,141.72,141.41,140.72,138.79,130.73,124.26,124.66,124.36,122.55,118.48,111.12,106.12,99.01,74.61,73.98,100.56
2016-04-21T00:22:18.000Z,23.59633333333333,-157.9553333333333,6,2,1,23.34,51.62,35.22,1024.03,0.114,1109.74,1764.2,66.51,-0.00092,0.00074,0.02,117.86,138.21,148.71,148.64,134.82,126.09,116.2,113.35,109.11,26.77,11.78,11.54,11.01,9.91,8.94,1.94,0.27,0,0,0,0,2.613,2.28,1.615,1.558,0.775,0.482,0.314,0.282,0.248,0.018,0.004,0,0,0.004,0,0,0,0,0,0,0,109.36,125.24,138.69,139.21,139,139.18,138.9,138.16,136.35,128.32,121.97,122.34,122.04,120.2,116.24,109.13,104.17,97.26,73.2,72.55,98.74
2016-04-21T00:22:21.000Z,23.59633333333333,-157.9553333333333,7,2,1,23.33,51.61,35.21,1024.03,0.101,1077.96,1752.54,64.6,-0.00092,0.00073,0.25,120.43,140.84,150.68,150.47,134.41,124.19,112.85,109.8,105.28,20.85,8.38,7.71,7.22,6.26,5.67,0,0,0,0,0,0,2.543,2.222,1.576,1.52,0.753,0.469,0.303,0.271,0.238,0.018,0,0,0,0.003,0,0.003,0,0,0,0,0,108.49,124.49,137.76,138.31,138.1,138.24,137.94,137.21,135.38,127.48,121.11,121.45,121.22,119.39,115.51,108.44,103.66,96.69,72.76,71.96,98.09
2016-04-21T00:22:24.000Z,23.59633333333333,-157.9553333333333,8,2,1,23.33,51.61,35.21,1024.03,0.107,861.11,1801.18,51.61,-0.00088,0.00072,-0.05,102.43,118.87,125.71,125.43,109.8,99.77,89.04,86.07,82.19,12.55,4.22,3.68,3.56,2.97,2.58,0,0,0,0,0,0,2.495,2.189,1.548,1.493,0.727,0.446,0.282,0.257,0.221,0.016,0,0.007,0,0.004,0.003,0,0,0,0,0,0,111.07,127.58,141.44,141.98,141.81,142.11,141.83,141.06,139.16,131.23,124.56,125.02,124.87,123.01,119.04,111.54,106.72,99.47,74.84,74.11,101.06
2016-04-21T00:22:27.000Z,23.59633333333333,-157.9553333333333,9,2,1,23.33,51.61,35.21,1024.04,0.107,857.3,1702.54,51.38,-0.00091,0.00073,-0.17,103.76,121.08,128.58,128.35,110.92,99.85,88.28,85.1,80.84,10.21,2.73,2.7,2.64,2.16,1.89,0,0,0,0,0,0,2.381,2.086,1.476,1.422,0.691,0.422,0.265,0.239,0.208,0.014,0,0.008,0,0.005,0,0,0.002,0,0,0,0,105.89,121.35,133.99,134.45,134.14,134.28,134.01,133.37,131.5,123.75,117.44,117.86,117.69,115.89,112.06,104.93,100.45,93.63,70.49,69.8,95.08
2016-04-21T00:22:29.000Z,23.59633333333333,-157.9553333333333,10,2,1,23.32,51.61,35.21,1024.05,0.104,989.17,1664.36,59.28,-0.00087,0.00075,0.37,120.54,142.34,152.49,152.05,129.8,116.04,101.45,97.79,92.42,9.42,2.28,2.41,1.77,1.6,1.06,0.36,0,0,0,0,0,2.376,2.088,1.481,1.429,0.692,0.421,0.266,0.238,0.207,0.011,0.004,0.003,0,0,0,0.001,0.002,0,0,0,0.004,103.89,118.91,131.14,131.62,131.18,131.23,130.97,130.29,128.51,120.97,114.75,115.12,114.78,113.05,109.36,102.29,97.84,91.31,68.68,67.95,92.7
2016-04-21T00:22:31.000Z,23.59633333333333,-157.9553333333333,11,2,1,23.32,51.59,35.21,1024.05,0.091,693.59,1697.52,41.57,-0.00086,0.00075,-0.03,89.45,103.68,108.57,108.04,90.49,79.87,68.72,66,62.17,5.58,1.31,1.49,0.98,0.98,0.66,0,0.2,0,0,0,0.22,2.236,1.966,1.394,1.344,0.638,0.381,0.234,0.213,0.18,0.01,0.002,0.004,0,0.005,0,0,0,0,0,0.006,0,105.77,121.01,133.65,134.13,133.82,133.99,133.62,132.96,131.16,123.32,117.11,117.39,117.18,115.43,111.62,104.47,99.93,93.33,70.24,69.46,94.6
2016-04-21T00:22:35.000Z,23.59633333333333,-157.9553333333333,12,2,1,23.31,51.59,35.21,1024.06,0.105,714.73,1698.4,42.84,-0.00088,0.00075,0.05,94.46,109.97,115.46,114.95,94.47,81.9,69.2,66.12,61.95,4.28,0.79,0.78,0.42,0.51,0.44,0,0,0,0,0,0,2.16,1.904,1.347,1.299,0.607,0.36,0.222,0.196,0.171,0.006,0,0,0,0,0,0,0,0.002,0,0,0,105.64,121.05,133.69,134.19,133.89,134.08,133.72,133.02,131.17,123.42,117.11,117.48,117.33,115.42,111.65,104.56,99.98,93.28,70.23,69.48,94.6
2016-04-21T00:22:38.000Z,23.59633333333333,-157.9553333333333,13,2,1,23.31,51.58,35.21,1024.06,0.106,674.82,1682.61,40.44,-0.00084,0.00074,-0.07,90.39,105.6,110.71,110.21,89.36,76.79,64.32,61.24,57.23,3.42,0.41,0.43,0.31,0.32,0.27,0,0.05,0,0,0,0,2.097,1.848,1.308,1.256,0.579,0.341,0.205,0.183,0.156,0.006,0,0,0,0,0.005,0,0,0,0,0,0,104.78,119.96,132.48,132.96,132.72,132.89,132.48,131.8,129.91,122.17,115.97,116.25,116.05,114.35,110.58,103.57,98.99,92.35,69.4,68.63,93.66
2016-04-21T00:22:41.000Z,23.59633333333333,-157.9553333333333,14,2,1,23.3,51.58,35.21,1024.07,0.098,686.08,1598.67,41.12,-0.00087,0.00076,0.14,92.93,108.84,114.23,113.64,91.14,77.54,64.22,61.05,56.86,3,0.47,0.4,0.37,0.3,0.22,0.15,0,0,0,0,0,2.007,1.774,1.255,1.208,0.558,0.326,0.196,0.178,0.149,0.008,0.005,0.004,0,0.005,0.005,0,0.002,0,0,0,0,100.27,114.5,126.14,126.54,126.16,126.25,125.87,125.2,123.35,115.91,109.89,110.19,109.92,108.32,104.76,97.99,93.76,87.55,65.68,65.01,88.57
2016-04-21T00:22:44.000Z,23.59633333333333,-157.9553333333333,15,2,1,23.3,51.57,35.21,1024.07,0.114,577.45,1554,34.61,-0.00091,0.00074,0,81.05,94.09,97.55,96.91,76.29,63.91,52.07,49.47,45.74,2.03,0.4,0.44,0,0.14,0,0,0,0,0,0,0,1.932,1.71,1.214,1.167,0.529,0.308,0.183,0.163,0.141,0.009,0,0,0,0.004,0.004,0,0,0,0,0,0,97.87,111.59,122.75,123.16,122.65,122.72,122.25,121.59,119.9,112.62,106.69,106.95,106.76,105.14,101.72,95.1,91.01,84.83,63.68,63.16,86.03
2016-04-21T00:22:46.000Z,23.59633333333333,-157.9553333333333,16,2,1,23.29,51.56,35.2,1024.08,0.116,567.75,1527,34.03,-0.0009,0.00075,0,80.77,94,97.42,96.78,75.11,62.28,50.09,47.37,43.65,1.71,0.25,0.25,0,0.1,0.14,0,0,0,0,0,0,1.848,1.633,1.158,1.114,0.501,0.288,0.17,0.153,0.129,0,0,0,0,0,0,0,0.003,0,0,0,0,96.56,109.97,120.7,121.14,120.69,120.57,120.2,119.53,117.86,110.43,104.57,104.9,104.8,103.08,99.66,93.24,89.1,83.14,62.39,61.8,84.23
2016-04-21T00:22:50.000Z,23.59633333333333,-157.9553333333333,17,2,1,23.28,51.55,35.2,1024.08,0.112,551.65,1487.43,33.06,-0.00089,0.00074,0.03,79.58,92.84,96.14,95.42,73.05,59.77,47.39,44.56,40.98,1.49,0.11,0.12,0.15,0.08,0,0,0,0,0,0,0,1.744,1.538,1.087,1.043,0.464,0.263,0.156,0.138,0.118,0,0,0.005,0,0,0,0,0,0,0,0,0,94.46,107.42,117.75,118.17,117.6,117.47,117.04,116.38,114.74,107.47,101.64,101.94,101.8,100.21,96.91,90.59,86.48,80.78,60.62,59.98,81.63
2016-04-21T00:22:53.000Z,23.59633333333333,-157.9553333333333,18,2,1,23.27,51.55,35.21,1024.09,0.098,512.65,1430.83,30.72,-0.0009,0.00075,0.04,75.65,88.15,90.77,90.04,67.46,54.35,42.34,39.65,36.21,1.17,0.17,0.09,0,0,0,0,0,0,0,0,0,1.69,1.499,1.06,1.017,0.447,0.254,0.148,0.132,0.11,0,0,0,0,0,0.003,0,0,0,0,0,0,91.4,103.82,113.53,113.93,113.21,113.07,112.5,111.9,110.29,103.11,97.61,97.84,97.49,96.16,92.96,86.9,82.94,77.36,58.09,57.57,78.28
2016-04-21T00:22:56.000Z,23.59633333333333,-157.9553333333333,19,2,1,23.28,51.55,35.21,1024.09,0.116,479.81,1387.07,28.76,-0.00086,0.00092,0.04,71.31,83.07,85.29,84.59,63.11,50.65,39.34,36.78,33.58,1.06,0,0,0,0,0,0.04,0,0,0,0,0,1.582,1.404,0.994,0.952,0.414,0.229,0.135,0.118,0.103,0.003,0,0,0.002,0.003,0,0,0,0,0,0,0.003,89.13,100.96,110.11,110.49,109.86,109.63,109.03,108.42,106.9,99.83,94.42,94.63,94.4,93.01,89.95,84.07,80.29,74.82,56.19,55.58,75.7
