time,lat,lon,depth,station,profile,temp,cond,sal,dens,flu,par_z,par_surface,light_level,kpar,ed412,ed442,ed488,ed490,ed510,ed530,ed550,ed554,ed560,ed620,ed664,ed666,ed670,ed678,ed682,ed708,ed748,ed754,ed760,ed764,ed778,lu412,lu442,lu488,lu490,lu510,lu530,lu550,lu554,lu560,lu620,lu664,lu666,lu670,lu678,lu682,lu708,lu748,lu754,lu760,lu764,lu778,es412,es442,es488,es490,es510,es530,es550,es554,es560,es620,es664,es666,es670,es678,es682,es708,es748,es754,es760,es764,es778
2023-01-28T22:07:55.000Z,19.3316,-138.7118,4,2,1,23.6,50.77,34.36,1023.29,0.016,1039.55,1585.42,66.64,0.13,102.98,116.71,129.35,129.05,118.93,111.84,104.67,102.95,99.81,35.9,20.6,20.13,19.17,17.33,16.1,4.91,0.4,0.4,0.43,0.34,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7,110.55,123.33,123.86,123.84,124.87,125.47,125.06,123.53,115.78,110.87,111.55,111.65,110.57,107.68,99.36,95.69,88.88,66,64.6,90.46
2023-01-28T22:07:58.000Z,19.3316,-138.7118,5,2,1,23.59,50.76,34.37,1023.31,0.024,876.52,1529.57,56.19,0.06,91.8,103.4,113.68,113.33,103.18,96,88.99,87.26,84.34,26.04,13.8,13.45,12.78,11.25,10.39,2.98,0.38,0.34,0.39,0.28,0.26,2.477,2.246,1.638,1.582,0.785,0.505,0.329,0.299,0.263,0.019,0.006,0.005,0.005,0.007,0.006,0.002,0,0,0,0.002,0,91.75,106.87,119.11,119.59,119.54,120.4,121.08,120.65,119.13,111.73,106.83,107.49,107.5,106.42,103.69,95.77,92.12,85.66,63.69,62.27,87.09
2023-01-28T22:08:01.000Z,19.3316,-138.7118,6,2,1,23.55,50.75,34.39,1023.34,0.024,827.42,1530.55,53.04,0.12,91.81,103.63,114.12,113.74,101.62,93.35,85.14,83.21,80,18.84,8.74,8.21,7.76,6.72,5.94,1.46,0.15,0.33,0.33,0.31,0.28,2.492,2.264,1.653,1.598,0.79,0.508,0.327,0.298,0.259,0.016,0.005,0.006,0.006,0.008,0.007,0.003,0,0,0,0.001,0,91.67,106.81,119.15,119.6,119.5,120.5,121.15,120.69,119.19,111.86,107.05,107.63,107.61,106.57,103.87,95.83,92.3,85.76,63.88,62.32,87.27
2023-01-28T22:08:04.000Z,19.3316,-138.7118,7,2,1,23.55,50.76,34.39,1023.34,0.024,770.8,1610.56,49.41,0,88.67,100.55,110.75,110.32,97.29,88.35,79.64,77.53,74.13,13.95,5.79,5.55,5.03,4.44,3.91,0.85,0.22,0.2,0.28,0.19,0,2.409,2.191,1.593,1.539,0.745,0.471,0.3,0.272,0.238,0.013,0.004,0.005,0.007,0.008,0.007,0.002,0,0.002,0,0.002,0,95.57,111.87,125.07,125.59,125.65,126.8,127.55,127.12,125.55,118.02,112.93,113.5,113.64,112.43,109.54,101.13,97.37,90.58,67.35,65.77,92.17
2023-01-28T22:08:06.000Z,19.3316,-138.7118,8,2,1,23.47,50.72,34.43,1023.4,0.024,757.78,1583.89,48.58,0.1,90.18,103.05,113.84,113.27,98.3,88.09,78.01,75.62,71.98,10.2,3.63,3.4,3.07,2.64,2.41,0.31,0.15,0.17,0,0.22,0,2.362,2.15,1.561,1.507,0.721,0.451,0.284,0.255,0.223,0.012,0.005,0.005,0.005,0.006,0.005,0.002,0,0,0,0,0,94.51,110.41,123.14,123.61,123.82,124.68,125.39,124.94,123.37,115.82,110.86,111.39,111.52,110.31,107.54,99.27,95.59,88.88,66.08,64.55,90.47
2023-01-28T22:08:09.000Z,19.3316,-138.7118,9,2,1,23.4,50.7,34.46,1023.45,0.02,673.34,1559.84,43.17,-0.04,81.08,92.52,102.14,101.61,87.85,78.2,68.95,66.82,63.55,8.49,2.93,2.78,2.59,2.08,1.77,0.37,0.11,0.14,0,0,0,2.226,2.031,1.469,1.417,0.665,0.412,0.257,0.231,0.2,0.01,0.005,0.005,0.003,0.006,0.004,0.002,0,0,0,0,0,93.35,108.83,121.33,121.8,121.95,122.77,123.44,123.04,121.51,114.01,109.06,109.67,109.78,108.61,105.68,97.75,94.03,87.48,64.93,63.45,88.91
2023-01-28T22:08:12.000Z,19.3316,-138.7118,10,2,1,23.32,50.67,34.5,1023.51,0.023,695,1540.89,44.55,0.02,86.96,99.67,110.17,109.55,92.57,80.8,69.79,67.23,63.46,6.09,1.89,1.86,1.38,1.11,0.96,0.3,0,0,0.13,0,0,2.231,2.04,1.474,1.421,0.662,0.408,0.252,0.227,0.196,0.011,0.003,0.005,0.004,0.005,0.005,0.001,0,0,0,0,0,92.31,107.6,119.95,120.4,120.42,121.37,121.9,121.51,120.02,112.61,107.71,108.24,108.38,107.28,104.5,96.49,92.87,86.31,64.09,62.7,87.68
2023-01-28T22:08:14.000Z,19.3316,-138.7118,11,2,1,23.17,50.62,34.58,1023.61,0.024,687.61,1556.29,44.08,0.17,85.35,98.71,109.87,109.26,91.98,80.19,69.21,66.6,62.85,5.7,1.75,1.55,1.45,1.2,0.93,0.21,0,0,0,0,0,2.169,1.988,1.435,1.384,0.635,0.387,0.237,0.211,0.183,0.01,0.001,0.002,0.005,0.004,0.004,0.003,0.002,0,0.001,0.002,0,92.98,108.5,121.02,121.51,121.5,122.45,123.17,122.76,121.22,113.85,108.91,109.6,109.63,108.55,105.77,97.57,93.97,87.3,64.91,63.45,88.82
2023-01-28T22:08:16.000Z,19.3316,-138.7118,12,2,1,23.04,50.59,34.66,1023.72,0.024,594.03,1592.24,38.08,0.11,77.36,89.33,98.42,97.72,80,68.26,57.4,54.94,51.46,3.41,0.92,0.8,0.81,0.53,0.44,0,0,0,0,0,0,2.153,1.982,1.433,1.381,0.628,0.38,0.23,0.206,0.177,0.009,0.004,0.003,0.005,0.005,0.006,0.002,0.002,0,0,0,0,94.8,110.77,123.79,124.32,124.28,125.35,126.02,125.57,124.06,116.53,111.63,112.2,112.26,111.11,108.28,99.94,96.28,89.38,66.41,64.91,91.04
2023-01-28T22:08:18.000Z,19.3316,-138.7118,13,2,1,23.03,50.58,34.66,1023.73,0.024,536.67,1608.55,34.4,-0.09,71.42,81.66,89.44,88.77,71.85,60.64,50.56,48.34,45.06,3.1,1.18,1.15,1.07,0.9,0.86,0.58,0.53,0.48,0.52,0.45,0.58,2.074,1.91,1.377,1.326,0.595,0.356,0.213,0.19,0.163,0.007,0.002,0.002,0.005,0.003,0.005,0.002,0,0.002,0.001,0,0,95.77,111.91,125.05,125.62,125.71,126.64,127.36,126.95,125.3,117.73,112.74,113.38,113.41,112.15,109.26,100.87,97,90.28,66.98,65.53,91.84
