time,lat,lon,depth,temp,cond,sal,dens,flu,par_z,par_surface,light_level,kpar,ed412,ed442,ed488,ed490,ed510,ed530,ed550,ed554,ed560,ed620,ed664,ed666,ed670,ed678,ed682,ed708,ed748,ed754,ed760,ed764,ed778,lu412,lu442,lu488,lu490,lu510,lu530,lu550,lu554,lu560,lu620,lu664,lu666,lu670,lu678,lu682,lu708,lu748,lu754,lu760,lu764,lu778,es412,es442,es488,es490,es510,es530,es550,es554,es560,es620,es664,es666,es670,es678,es682,es708,es748,es754,es760,es764,es778
2021-07-26T23:41:28.000Z,21.52397,-155.5457,6,25.82,53.82,34.92,1023.06,0.051,866.96,1632.67,54.14,0.1,87.04,104.35,115.34,115.33,105.21,98.92,91.53,89.46,86.19,22.58,10.39,10.13,9.78,8.67,7.88,1.72,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.83,112.3,126.64,127.11,127.56,128.32,128.5,128.23,126.66,120.35,115.01,115.13,114.77,113.57,110,103.59,99.68,92.75,70.88,70.51,94.49
2021-07-26T23:41:31.000Z,21.52397,-155.5457,7,25.82,53.82,34.92,1023.06,0.026,772.79,1607.03,48.26,-0.1,82.63,98.84,108.89,108.79,97.21,90.03,81.89,79.7,76.34,15.19,5.89,5.74,5.41,4.69,4.16,0.83,0,0,0,0,0,1.741,1.697,1.34,1.299,0.684,0.444,0.294,0.265,0.239,0.014,0,0.012,0,0.007,0.009,0,0,0,0,0,0,94.51,110.78,124.26,124.9,125.78,126.65,126.65,126,124.6,118.56,113.42,113.81,113.41,111.75,108.67,101.86,97.93,91.84,69.41,69.17,92.61
2021-07-26T23:41:34.000Z,21.52397,-155.5457,8,25.82,53.82,34.92,1023.07,0.027,857.1,1606.87,53.53,0.26,91.58,110.99,123.19,123.08,109.53,101.04,91.47,88.93,85.07,14.97,5.32,5.19,4.92,4.31,3.84,0.57,0.13,0,0.25,0.17,0,1.627,1.593,1.26,1.219,0.626,0.408,0.268,0.24,0.212,0.02,0,0,0,0,0,0,0,0,0.014,0,0,94.78,110.47,124.23,124.61,125.36,126.46,126.84,126.25,124.38,118.88,113.05,113.5,113.63,111.56,108.27,102.36,97.72,91.86,70.23,69.19,93.25
2021-07-26T23:41:39.000Z,21.52397,-155.5457,9,25.82,53.83,34.92,1023.07,0.026,663.72,1610.39,41.45,0.01,75.7,90.85,99.53,99.35,86.37,78.23,69.48,67.24,63.96,8.73,2.67,2.62,2.41,2.1,1.79,0.27,0,0,0,0,0,1.563,1.52,1.2,1.162,0.593,0.378,0.243,0.22,0.192,0.01,0,0,0,0,0,0,0,0,0,0,0,94.55,110.66,125.02,125.37,125.72,126.42,126.78,126.58,124.79,118.68,113.37,113.46,113.12,112.22,108.45,102.22,98.33,91.4,70.05,69.51,93.33
2021-07-26T23:41:43.000Z,21.52397,-155.5457,10,25.82,53.82,34.92,1023.08,0.024,657.45,1610.59,41.06,-0.07,75.68,91.45,100.33,100.14,86.19,77.71,68.61,66.19,62.87,7.72,2.21,2.1,1.93,1.61,1.39,0.29,0.08,0,0,0,0.13,1.472,1.444,1.143,1.105,0.551,0.343,0.222,0.193,0.175,0,0,0,0,0,0.006,0,0,0,0.005,0,0,93.95,110.85,124.98,125.6,126.09,126.66,126.74,126.28,125.12,118.74,113.71,113.9,113.56,111.97,108.72,102.13,98.28,92.09,69.99,69.22,93.11
2021-07-26T23:41:46.000Z,21.52397,-155.5457,11,25.81,53.82,34.92,1023.08,0.025,705.15,1606,44.04,-0.05,82.06,100.12,110.57,110.23,93.87,83.8,73.14,70.39,66.59,6.63,1.67,1.66,1.5,1.24,1,0.21,0,0,0,0,0,1.426,1.401,1.114,1.08,0.533,0.326,0.207,0.187,0.166,0,0,0.01,0,0,0.007,0,0,0,0,0,0,94.43,110.25,124.75,125,125.3,126.03,126.42,126.31,124.48,118.42,113.11,113.06,112.76,111.95,108.05,102.05,98.03,91.11,69.97,69.44,93.18
2021-07-26T23:41:51.000Z,21.52397,-155.5457,12,25.8,53.8,34.92,1023.09,0.035,735.96,1601.53,45.96,0.19,87,106.26,117.84,117.51,98.95,87.5,75.42,72.48,68.35,5.91,1.23,1.15,1.21,0.92,0.58,0.19,0,0,0,0,0,1.408,1.38,1.097,1.06,0.521,0.325,0.201,0.177,0.151,0.007,0,0,0.021,0,0,0.006,0,0,0.008,0,0,93.88,110.75,124.18,124.97,125.62,126.18,125.93,125.37,124.44,117.75,113.24,113.62,112.84,111.22,108.34,101.08,97.46,91.4,68.92,68.7,92.09
2021-07-26T23:41:53.000Z,21.52397,-155.5457,13,25.8,53.8,34.92,1023.1,0.029,622.36,1629.94,38.87,0.08,76.16,92.62,101.43,101.08,83.64,73.01,62.22,59.55,55.85,4.31,0.84,0.78,0.43,0.48,0.38,0.22,0,0,0,0,0,1.393,1.382,1.105,1.066,0.521,0.323,0.205,0.181,0.159,0.013,0,0,0,0,0.003,0,0,0,0.029,0,0,95.79,111.99,126.5,126.78,127.2,128,128.34,128.09,126.28,120.16,114.92,114.88,114.39,113.77,109.81,103.52,99.75,92.38,71.1,70.74,94.71
2021-07-26T23:41:56.000Z,21.52397,-155.5457,14,25.8,53.8,34.92,1023.1,0.027,568.52,1619.43,35.51,0.05,70.93,86.51,94.75,94.37,76.72,66.07,55.52,53,49.46,3.18,0.59,0.51,0.26,0.26,0.35,0.15,0,0,0,0,0,1.316,1.298,1.038,1.007,0.486,0.289,0.177,0.166,0.144,0,0,0,0,0,0,0,0,0,0,0,0,95.33,111.58,125.23,125.79,126.68,127.58,127.71,127.02,125.56,119.68,114.06,114.5,114.33,112.46,109.13,102.91,98.57,92.43,70.57,69.62,93.89
2021-07-26T23:42:00.000Z,21.52397,-155.5457,15,25.8,53.8,34.92,1023.1,0.035,533.9,1600.98,33.34,-0.02,68.1,83.12,90.4,89.99,72.03,61.38,50.92,48.35,44.99,2.46,0.53,0,0.18,0.26,0.22,0.13,0,0,0.2,0,0.13,1.294,1.291,1.033,0.999,0.473,0.284,0.178,0.154,0.135,0.012,0,0,0.004,0,0,0,0,0,0,0,0,94.55,110.28,124.07,124.44,124.96,125.96,126.16,125.71,124.1,117.94,112.8,112.94,112.65,111.38,107.92,101.5,97.67,91.14,69.4,69.03,92.47
