,Date,cruise,PAR
13402,2021-11-19 03:00:00+00:00,TN397_130,0.0274
13404,2021-11-19 14:00:00+00:00,TN397_130,32.93214285714286
13406,2021-11-19 15:00:00+00:00,TN397_130,257.55745
13408,2021-11-19 16:00:00+00:00,TN397_130,616.76025
13410,2021-11-19 17:00:00+00:00,TN397_130,919.52065
13412,2021-11-19 18:00:00+00:00,TN397_130,1736.45065
13414,2021-11-19 19:00:00+00:00,TN397_130,2051.71865
13416,2021-11-19 20:00:00+00:00,TN397_130,1942.10815
13418,2021-11-19 21:00:00+00:00,TN397_130,1740.97765
13420,2021-11-19 22:00:00+00:00,TN397_130,1251.5824
13422,2021-11-19 23:00:00+00:00,TN397_130,930.6064
13424,2021-11-20 00:00:00+00:00,TN397_130,168.6468
13426,2021-11-20 01:00:00+00:00,TN397_130,5.90825
13428,2021-11-20 02:00:00+00:00,TN397_130,0.028100000000000003
13430,2021-11-20 03:00:00+00:00,TN397_130,0.0295
13432,2021-11-20 04:00:00+00:00,TN397_130,0.03185
13434,2021-11-20 05:00:00+00:00,TN397_130,0.0311
13436,2021-11-20 06:00:00+00:00,TN397_130,0.0317
13438,2021-11-20 07:00:00+00:00,TN397_130,0.03055
13440,2021-11-20 08:00:00+00:00,TN397_130,0.033800000000000004
13442,2021-11-20 09:00:00+00:00,TN397_130,0.034499999999999996
13444,2021-11-20 10:00:00+00:00,TN397_130,0.0274
13446,2021-11-20 11:00:00+00:00,TN397_130,0.028055555555555556
13448,2021-11-20 14:00:00+00:00,TN397_130,7.551777777777779
13450,2021-11-20 15:00:00+00:00,TN397_130,255.05149999999998
13452,2021-11-20 16:00:00+00:00,TN397_130,533.5719
13454,2021-11-20 17:00:00+00:00,TN397_130,546.0065
13456,2021-11-20 19:00:00+00:00,TN397_130,2020.3779285714286
13458,2021-11-20 20:00:00+00:00,TN397_130,1731.7310000000002
13460,2021-11-20 21:00:00+00:00,TN397_130,1572.40545
13462,2021-11-20 22:00:00+00:00,TN397_130,1243.7958
13464,2021-11-20 23:00:00+00:00,TN397_130,416.3589
13466,2021-11-21 00:00:00+00:00,TN397_130,118.5859
13468,2021-11-21 01:00:00+00:00,TN397_130,20.4506
13470,2021-11-21 02:00:00+00:00,TN397_130,0.0198
13472,2021-11-21 03:00:00+00:00,TN397_130,0.019
13474,2021-11-21 04:00:00+00:00,TN397_130,0.0183
13476,2021-11-21 05:00:00+00:00,TN397_130,0.018349999999999998
13478,2021-11-21 06:00:00+00:00,TN397_130,0.0216
13480,2021-11-21 07:00:00+00:00,TN397_130,0.01795
13482,2021-11-21 08:00:00+00:00,TN397_130,0.0198
13484,2021-11-21 09:00:00+00:00,TN397_130,0.019450000000000002
13486,2021-11-21 10:00:00+00:00,TN397_130,0.02295
13488,2021-11-21 11:00:00+00:00,TN397_130,0.019
13490,2021-11-21 12:00:00+00:00,TN397_130,0.02035
13492,2021-11-21 13:00:00+00:00,TN397_130,0.016599999999999997
13494,2021-11-21 14:00:00+00:00,TN397_130,3.3699
13496,2021-11-21 15:00:00+00:00,TN397_130,197.8535
13498,2021-11-21 16:00:00+00:00,TN397_130,915.41445
13500,2021-11-21 17:00:00+00:00,TN397_130,2067.4649
13502,2021-11-21 18:00:00+00:00,TN397_130,1955.30595
13504,2021-11-21 19:00:00+00:00,TN397_130,2205.9879499999997
13506,2021-11-21 20:00:00+00:00,TN397_130,2304.57215
13508,2021-11-21 21:00:00+00:00,TN397_130,2283.2267
13510,2021-11-21 22:00:00+00:00,TN397_130,1877.6118
13512,2021-11-21 23:00:00+00:00,TN397_130,1757.8015500000001
13514,2021-11-22 00:00:00+00:00,TN397_130,828.0049999999999
13516,2021-11-22 01:00:00+00:00,TN397_130,131.9906
13518,2021-11-22 02:00:00+00:00,TN397_130,0.0895
13520,2021-11-22 03:00:00+00:00,TN397_130,0.01711764705882353
13522,2021-11-22 04:00:00+00:00,TN397_130,0.01695
13524,2021-11-22 05:00:00+00:00,TN397_130,0.017050000000000003
13526,2021-11-22 06:00:00+00:00,TN397_130,0.01845
13528,2021-11-22 07:00:00+00:00,TN397_130,0.0185
13530,2021-11-22 08:00:00+00:00,TN397_130,0.02605263157894737
13532,2021-11-22 09:00:00+00:00,TN397_130,0.02615
13534,2021-11-22 10:00:00+00:00,TN397_130,0.0258
13536,2021-11-22 11:00:00+00:00,TN397_130,0.0279
13538,2021-11-22 12:00:00+00:00,TN397_130,0.026600000000000002
13540,2021-11-22 13:00:00+00:00,TN397_130,0.02595
13542,2021-11-22 14:00:00+00:00,TN397_130,1.52385
13544,2021-11-22 15:00:00+00:00,TN397_130,124.87505000000002
13546,2021-11-22 16:00:00+00:00,TN397_130,1250.91255
13548,2021-11-22 17:00:00+00:00,TN397_130,1951.9231
13550,2021-11-22 18:00:00+00:00,TN397_130,2123.37345
13552,2021-11-22 19:00:00+00:00,TN397_130,2159.7165
13554,2021-11-22 20:00:00+00:00,TN397_130,2398.5030526315786
13556,2021-11-22 21:00:00+00:00,TN397_130,1822.20295
13558,2021-11-22 22:00:00+00:00,TN397_130,1574.10005
13560,2021-11-22 23:00:00+00:00,TN397_130,1552.9969500000002
13562,2021-11-23 00:00:00+00:00,TN397_130,561.77995
13564,2021-11-23 01:00:00+00:00,TN397_130,352.581
13566,2021-11-23 02:00:00+00:00,TN397_130,4.9408
13568,2021-11-23 03:00:00+00:00,TN397_130,0.018099999999999998
13570,2021-11-23 04:00:00+00:00,TN397_130,0.02225
13572,2021-11-23 05:00:00+00:00,TN397_130,0.0179
13574,2021-11-23 06:00:00+00:00,TN397_130,0.0198
13576,2021-11-23 07:00:00+00:00,TN397_130,0.0173
13578,2021-11-23 08:00:00+00:00,TN397_130,0.017099999999999997
13580,2021-11-23 09:00:00+00:00,TN397_130,0.01805
13582,2021-11-23 10:00:00+00:00,TN397_130,0.020249999999999997
13584,2021-11-23 11:00:00+00:00,TN397_130,0.023350000000000003
13586,2021-11-23 12:00:00+00:00,TN397_130,0.0228
13588,2021-11-23 13:00:00+00:00,TN397_130,0.02325
13590,2021-11-23 14:00:00+00:00,TN397_130,0.03785
13592,2021-11-23 15:00:00+00:00,TN397_130,33.75625
13594,2021-11-23 16:00:00+00:00,TN397_130,195.0125
13596,2021-11-23 17:00:00+00:00,TN397_130,349.5938
13598,2021-11-23 18:00:00+00:00,TN397_130,658.03845
13600,2021-11-23 19:00:00+00:00,TN397_130,1320.33555
13602,2021-11-23 20:00:00+00:00,TN397_130,1395.7932999999998
13604,2021-11-23 21:00:00+00:00,TN397_130,1279.8745
13606,2021-11-23 22:00:00+00:00,TN397_130,1340.14185
13608,2021-11-23 23:00:00+00:00,TN397_130,1127.0004000000001
13610,2021-11-24 00:00:00+00:00,TN397_130,581.708
13612,2021-11-24 01:00:00+00:00,TN397_130,172.0193
13614,2021-11-24 02:00:00+00:00,TN397_130,15.369499999999999
13616,2021-11-24 03:00:00+00:00,TN397_130,0.016300000000000002
13618,2021-11-24 04:00:00+00:00,TN397_130,0.017099999999999997
13620,2021-11-24 05:00:00+00:00,TN397_130,0.01575
13622,2021-11-24 06:00:00+00:00,TN397_130,0.0194
13624,2021-11-24 07:00:00+00:00,TN397_130,0.0161
13626,2021-11-24 08:00:00+00:00,TN397_130,0.0134
13628,2021-11-24 09:00:00+00:00,TN397_130,0.0108
13630,2021-11-24 10:00:00+00:00,TN397_130,0.01735
13632,2021-11-24 11:00:00+00:00,TN397_130,0.020050000000000002
13634,2021-11-24 12:00:00+00:00,TN397_130,0.0218
13636,2021-11-24 13:00:00+00:00,TN397_130,0.03
13638,2021-11-24 14:00:00+00:00,TN397_130,0.15471428571428572
13642,2021-11-24 17:00:00+00:00,TN397_130,704.2886666666667
13644,2021-11-24 18:00:00+00:00,TN397_130,1482.95415
13646,2021-11-24 19:00:00+00:00,TN397_130,1007.04465
13648,2021-11-24 20:00:00+00:00,TN397_130,1700.3355999999999
13650,2021-11-24 21:00:00+00:00,TN397_130,1530.52955
13652,2021-11-24 22:00:00+00:00,TN397_130,1311.6300999999999
13654,2021-11-24 23:00:00+00:00,TN397_130,1471.8588
13656,2021-11-25 00:00:00+00:00,TN397_130,627.06845
13658,2021-11-25 01:00:00+00:00,TN397_130,199.75105000000002
13660,2021-11-25 02:00:00+00:00,TN397_130,53.43745
13662,2021-11-25 03:00:00+00:00,TN397_130,0.01815
13664,2021-11-25 04:00:00+00:00,TN397_130,0.022350000000000002
13666,2021-11-25 05:00:00+00:00,TN397_130,0.0193
13668,2021-11-25 06:00:00+00:00,TN397_130,0.02015
13670,2021-11-25 07:00:00+00:00,TN397_130,0.02375
13672,2021-11-25 08:00:00+00:00,TN397_130,0.0246
13674,2021-11-25 09:00:00+00:00,TN397_130,0.02515
13676,2021-11-25 10:00:00+00:00,TN397_130,0.023549999999999998
13678,2021-11-25 11:00:00+00:00,TN397_130,0.0222
13680,2021-11-25 12:00:00+00:00,TN397_130,0.07894999999999999
13682,2021-11-25 13:00:00+00:00,TN397_130,0.04205
13684,2021-11-25 14:00:00+00:00,TN397_130,0.21775000000000003
13686,2021-11-25 15:00:00+00:00,TN397_130,17.0589
13688,2021-11-25 16:00:00+00:00,TN397_130,222.3982
13690,2021-11-25 17:00:00+00:00,TN397_130,636.7581
13692,2021-11-25 18:00:00+00:00,TN397_130,728.5600000000001
13694,2021-11-25 19:00:00+00:00,TN397_130,2157.5364999999997
13696,2021-11-25 20:00:00+00:00,TN397_130,1147.1912
13698,2021-11-25 21:00:00+00:00,TN397_130,1237.93135
13700,2021-11-25 22:00:00+00:00,TN397_130,1378.79585
13702,2021-11-25 23:00:00+00:00,TN397_130,1182.3647500000002
13704,2021-11-26 00:00:00+00:00,TN397_130,669.5223
13706,2021-11-26 01:00:00+00:00,TN397_130,290.17085000000003
13708,2021-11-26 02:00:00+00:00,TN397_130,29.70965
13710,2021-11-26 03:00:00+00:00,TN397_130,0.0361
13712,2021-11-26 04:00:00+00:00,TN397_130,0.0224
13714,2021-11-26 05:00:00+00:00,TN397_130,0.019200000000000002
13716,2021-11-26 06:00:00+00:00,TN397_130,0.0219
13718,2021-11-26 07:00:00+00:00,TN397_130,0.023149999999999997
13720,2021-11-26 08:00:00+00:00,TN397_130,0.01815
13722,2021-11-26 09:00:00+00:00,TN397_130,0.0222
13724,2021-11-26 10:00:00+00:00,TN397_130,0.02475
13726,2021-11-26 11:00:00+00:00,TN397_130,0.020749999999999998
13728,2021-11-26 12:00:00+00:00,TN397_130,0.0224
13730,2021-11-26 13:00:00+00:00,TN397_130,0.0213
13732,2021-11-26 14:00:00+00:00,TN397_130,0.024399999999999998
13734,2021-11-26 15:00:00+00:00,TN397_130,94.66665
13736,2021-11-26 16:00:00+00:00,TN397_130,1158.7887
13738,2021-11-26 17:00:00+00:00,TN397_130,1681.913
13740,2021-11-26 18:00:00+00:00,TN397_130,1578.4283
13742,2021-11-26 19:00:00+00:00,TN397_130,1065.3177
13744,2021-11-26 20:00:00+00:00,TN397_130,1193.94085
13746,2021-11-26 21:00:00+00:00,TN397_130,1115.60255
13748,2021-11-26 22:00:00+00:00,TN397_130,1872.90455
13750,2021-11-26 23:00:00+00:00,TN397_130,1927.3224999999998
13752,2021-11-27 00:00:00+00:00,TN397_130,1363.3870499999998
13754,2021-11-27 01:00:00+00:00,TN397_130,433.4759
13756,2021-11-27 02:00:00+00:00,TN397_130,86.58624999999999
13758,2021-11-27 03:00:00+00:00,TN397_130,0.0706
13760,2021-11-27 04:00:00+00:00,TN397_130,0.018666666666666668
13762,2021-11-27 05:00:00+00:00,TN397_130,0.0191
13764,2021-11-27 06:00:00+00:00,TN397_130,0.01875
13766,2021-11-27 07:00:00+00:00,TN397_130,0.01865
13768,2021-11-27 08:00:00+00:00,TN397_130,0.0185
13770,2021-11-27 09:00:00+00:00,TN397_130,0.02275
13772,2021-11-27 10:00:00+00:00,TN397_130,0.023799999999999998
13774,2021-11-27 11:00:00+00:00,TN397_130,0.02175
13776,2021-11-27 12:00:00+00:00,TN397_130,0.02585
13778,2021-11-27 13:00:00+00:00,TN397_130,0.0279
13780,2021-11-27 14:00:00+00:00,TN397_130,0.030699999999999998
13782,2021-11-27 15:00:00+00:00,TN397_130,51.7042
13784,2021-11-27 16:00:00+00:00,TN397_130,797.58345
13786,2021-11-27 17:00:00+00:00,TN397_130,1879.1620500000001
13788,2021-11-27 18:00:00+00:00,TN397_130,2215.0656
